N063.59.31.655 W022.37.11.847
                                         N063.59.37.642 W022.37.11.885
                                         N063.59.38.280 W022.37.12.321
                                         N063.59.40.116 W022.37.14.684
                                         N063.59.40.886 W022.37.15.565
                                         N063.59.41.453 W022.37.15.786
                                         N063.59.43.231 W022.37.15.835
                                         N063.59.43.420 W022.37.16.205
                                         N063.59.43.509 W022.37.16.852
                                         N063.59.31.602 W022.37.36.595
                                         N063.59.32.081 W022.37.36.602
                                         N063.59.32.849 W022.37.37.471
                                         N063.59.33.314 W022.37.38.516
                                         N063.59.33.902 W022.37.39.178
                                         N063.59.36.822 W022.37.39.178
                                         N063.59.37.398 W022.37.38.822
                                         N063.59.40.328 W022.37.35.915
                                         N063.59.43.019 W022.37.35.866
                                         N063.59.43.326 W022.37.35.510
                                         N063.59.43.429 W022.37.35.258
                                         N063.59.43.481 W022.37.34.942
                                         N063.59.43.496 W022.37.34.442
                                         N063.59.43.495 W022.37.33.843
                                         N063.59.41.416 W022.37.35.855
                                         N063.59.41.318 W022.37.15.773
                                         N063.59.39.157 W022.37.37.062
                                         N063.59.40.349 W022.37.14.969
                                         N063.59.39.724 W022.37.17.355
                                         N063.59.39.423 W022.37.18.490
                                         N063.59.39.360 W022.37.19.048
                                         N063.59.39.359 W022.37.20.709
                                         N063.59.38.613 W022.37.37.620
                                         N063.59.39.189 W022.37.13.541
                                         N063.59.32.357 W022.37.36.917
                                         N063.59.35.726 W022.37.11.897
                                         N063.59.30.172 W022.37.28.602
                                         N063.59.30.181 W022.37.23.274
                                         N063.59.32.564 W022.37.11.855
                                         N063.59.32.579 W022.37.15.899
                                         N063.59.32.757 W022.37.16.389
                                         N063.59.32.622 W022.37.37.233
                                         N063.59.34.258 W022.37.39.190
                                         N063.59.35.958 W022.37.39.201
                                         N063.59.38.657 W022.37.37.584
                                         N063.59.39.407 W022.37.36.828
                                         N063.59.21.338 W022.38.14.538
                                         N063.59.21.693 W022.38.15.160
                                         N063.59.22.124 W022.38.16.509
                                         N063.59.20.172 W022.38.19.847
                                         N063.59.20.402 W022.38.19.390
                                         N063.59.20.172 W022.38.21.752
                                         N063.59.20.667 W022.38.22.830
                                         N063.59.33.002 W022.38.06.690
                                         N063.59.34.613 W022.38.07.716
                                         N063.59.35.210 W022.38.07.711
                                         N063.59.35.382 W022.38.07.679
                                         N063.59.35.536 W022.38.07.470
                                         N063.59.35.639 W022.38.07.203
                                         N063.59.35.706 W022.38.06.941
                                         N063.59.35.751 W022.38.06.583
                                         N063.59.35.738 W022.38.06.240
                                         N063.59.35.670 W022.38.05.796
                                         N063.59.32.488 W022.38.05.579
                                         N063.59.33.226 W022.36.51.769
                                         N063.59.33.226 W022.36.51.773
                                         N063.59.35.554 W022.36.51.774
                                         N063.59.34.389 W022.36.51.788
                                         N063.59.35.554 W022.36.51.788
                                         N063.59.34.391 W022.36.51.797
                                         N063.59.40.853 W022.36.58.281
                                         N063.59.37.903 W022.36.51.796
                                         N063.59.40.853 W022.37.02.169
                                         N063.59.33.228 W022.37.11.858
                                         N063.59.40.849 W022.37.06.224
                                         N063.59.35.612 W022.37.11.875
                                         N063.59.34.383 W022.37.11.862
                                         N063.59.39.666 W022.37.14.105
                                         N063.59.39.923 W022.37.14.431
                                         N063.59.40.057 W022.37.14.507
                                         N063.59.40.219 W022.37.14.500
                                         N063.59.40.437 W022.37.14.217
                                         N063.59.40.620 W022.37.13.751
                                         N063.59.40.770 W022.37.13.168
                                         N063.59.40.818 W022.37.12.849
                                         N063.59.40.855 W022.37.12.394
                                         N063.59.40.854 W022.37.09.667
                                         N063.59.40.851 W022.37.06.254
                                         N063.59.40.857 W022.37.02.169
                                         N063.59.40.853 W022.36.58.268
                                         N063.59.40.849 W022.36.54.149
                                         N063.59.40.787 W022.36.53.616
                                         N063.59.40.662 W022.36.52.971
                                         N063.59.40.531 W022.36.52.684
                                         N063.59.40.274 W022.36.52.130
                                         N063.59.40.115 W022.36.51.941
                                         N063.59.39.189 W022.36.51.832
                                         N063.59.38.613 W022.36.51.788
                                         N063.59.37.910 W022.36.51.792
                                         N063.59.35.554 W022.36.51.793
                                         N063.59.33.210 W022.36.51.783
                                         N063.59.30.159 W022.37.41.906
